uri_o1	label_o1	uri_o2	label_o2	score
http://human.owl#NCI_C12220	lip	http://mouse.owl#MA_0000343	lip	1.0
http://human.owl#NCI_C49295	seminal vesicle epithelium	http://mouse.owl#MA_0001745	seminal vesicle epithelium	1.0
http://human.owl#NCI_C49263	nasopharynx epithelium	http://mouse.owl#MA_0001865	nasopharynx epithelium	1.0
http://human.owl#NCI_C49264	oropharynx epithelium	http://mouse.owl#MA_0001605	oropharynx epithelium	1.0
http://human.owl#NCI_C49268	pancreatic acinus	http://mouse.owl#MA_0002417	pancreatic acinus	1.0
http://human.owl#NCI_C49269	penis erectile tissue	http://mouse.owl#MA_0001743	penis erectile tissue	1.0
http://human.owl#NCI_C49270	prepuce epithelium	http://mouse.owl#MA_0001753	prepuce epithelium	1.0
http://human.owl#NCI_C49273	renal tubule basement membrane	http://mouse.owl#MA_0001680	renal tubule basement membrane	1.0
http://human.owl#NCI_C49276	renal tubule epithelium	http://mouse.owl#MA_0001681	renal tubule epithelium	1.0
http://human.owl#NCI_C49277	right lung alveolar duct	http://mouse.owl#MA_0001785	right lung alveolar duct	1.0
http://human.owl#NCI_C49278	right lung alveolus	http://mouse.owl#MA_0001786	right lung alveolus	1.0
http://human.owl#NCI_C49279	right lung bronchiole	http://mouse.owl#MA_0001787	right lung bronchiole	1.0
http://human.owl#NCI_C49285	right lung respiratory bronchiole	http://mouse.owl#MA_0001788	right lung respiratory bronchiole	1.0
http://human.owl#NCI_C49294	right lung terminal bronchiole	http://mouse.owl#MA_0001789	right lung terminal bronchiole	1.0
http://human.owl#NCI_C49300	tongue epithelium	http://mouse.owl#MA_0001592	tongue epithelium	1.0
http://human.owl#NCI_C49261	nasal cavity epithelium	http://mouse.owl#MA_0001324	nasal cavity epithelium	1.0
http://human.owl#NCI_C49302	trachea basement membrane	http://mouse.owl#MA_0001854	trachea basement membrane	1.0
http://human.owl#NCI_C49303	trachea basal lamina	http://mouse.owl#MA_0001855	trachea basal lamina	1.0
http://human.owl#NCI_C49304	trachea cartilage	http://mouse.owl#MA_0001857	trachea cartilage	1.0
http://human.owl#NCI_C49305	trachea lamina propria	http://mouse.owl#MA_0001858	trachea lamina propria	1.0
http://human.owl#NCI_C49307	trachea submucosa	http://mouse.owl#MA_0001860	trachea submucosa	1.0
http://human.owl#NCI_C49308	tympanic epithelium	http://mouse.owl#MA_0001224	tympanic epithelium	1.0
http://human.owl#NCI_C49309	urethra epithelium	http://mouse.owl#MA_0001686	urethra epithelium	1.0
http://human.owl#NCI_C49315	vas deferens epithelium	http://mouse.owl#MA_0001749	vas deferens epithelium	1.0
http://human.owl#NCI_C49317	vein endothelium	http://mouse.owl#MA_0000712	vein endothelium	1.0
http://human.owl#NCI_C49318	vena cava endothelium	http://mouse.owl#MA_0000713	vena cava endothelium	1.0
http://human.owl#NCI_C49319	venule endothelium	http://mouse.owl#MA_0000716	venule endothelium	1.0
http://human.owl#NCI_C49320	venous system endothelium	http://mouse.owl#MA_0000714	venous system endothelium	1.0
http://human.owl#NCI_C49262	nasal cavity respiratory epithelium	http://mouse.owl#MA_0001326	nasal cavity respiratory epithelium	1.0
http://human.owl#NCI_C49258	lymphatic vessel endothelium	http://mouse.owl#MA_0000750	lymphatic vessel endothelium	1.0
http://human.owl#NCI_C52710	anterior olfactory nucleus	http://mouse.owl#MA_0000968	anterior olfactory nucleus	1.0
http://human.owl#NCI_C49217	cerebellum white matter	http://mouse.owl#MA_0002430	cerebellum white matter	1.0
http://human.owl#NCI_C48946	left pulmonary vein	http://mouse.owl#MA_0002207	left pulmonary vein	1.0
http://human.owl#NCI_C48947	right pulmonary vein	http://mouse.owl#MA_0002208	right pulmonary vein	1.0
http://human.owl#NCI_C49216	cerebellar cortex	http://mouse.owl#MA_0000199	cerebellar cortex	1.0
http://human.owl#NCI_C49190	aorta endothelium	http://mouse.owl#MA_0000701	aorta endothelium	1.0
http://human.owl#NCI_C49192	arteriole endothelium	http://mouse.owl#MA_0000705	arteriole endothelium	1.0
http://human.owl#NCI_C49194	artery endothelium	http://mouse.owl#MA_0000707	artery endothelium	1.0
http://human.owl#NCI_C49207	bronchus basal lamina	http://mouse.owl#MA_0001833	bronchus basal lamina	1.0
http://human.owl#NCI_C49208	bronchus basement membrane	http://mouse.owl#MA_0001832	bronchus basement membrane	1.0
http://human.owl#NCI_C49209	bronchus cartilage	http://mouse.owl#MA_0001835	bronchus cartilage	1.0
http://human.owl#NCI_C49210	bronchus connective tissue	http://mouse.owl#MA_0001831	bronchus connective tissue	1.0
http://human.owl#NCI_C49212	bronchus lamina propria	http://mouse.owl#MA_0001836	bronchus lamina propria	1.0
http://human.owl#NCI_C49214	bronchus submucosa	http://mouse.owl#MA_0001837	bronchus submucosa	1.0
http://human.owl#NCI_C49334	brain white matter	http://mouse.owl#MA_0000820	brain white matter	1.0
http://human.owl#NCI_C49256	lower respiratory tract cartilage	http://mouse.owl#MA_0001819	lower respiratory tract cartilage	1.0
http://human.owl#NCI_C49218	cervix epithelium	http://mouse.owl#MA_0001724	cervix epithelium	1.0
http://human.owl#NCI_C49219	cervix squamous epithelium	http://mouse.owl#MA_0001725	cervix squamous epithelium	1.0
http://human.owl#NCI_C49225	external ear cartilage	http://mouse.owl#MA_0001886	external ear cartilage	1.0
http://human.owl#NCI_C49226	eyelid subcutaneous connective tissue	http://mouse.owl#MA_0001252	eyelid subcutaneous connective tissue	1.0
http://human.owl#NCI_C49232	fourth ventricle ependyma	http://mouse.owl#MA_0000986	fourth ventricle ependyma	1.0
http://human.owl#NCI_C49239	gingival epithelium	http://mouse.owl#MA_0001576	gingival epithelium	1.0
http://human.owl#NCI_C49249	lateral ventricle ependyma	http://mouse.owl#MA_0000964	lateral ventricle ependyma	1.0
http://human.owl#NCI_C49250	left lung alveolar duct	http://mouse.owl#MA_0001776	left lung alveolar duct	1.0
http://human.owl#NCI_C49251	left lung alveolus	http://mouse.owl#MA_0001777	left lung alveolus	1.0
http://human.owl#NCI_C49252	left lung bronchiole	http://mouse.owl#MA_0001778	left lung bronchiole	1.0
http://human.owl#NCI_C49254	left lung respiratory bronchiole	http://mouse.owl#MA_0001779	left lung respiratory bronchiole	1.0
http://human.owl#NCI_C49255	left lung terminal bronchiole	http://mouse.owl#MA_0001780	left lung terminal bronchiole	1.0
http://human.owl#NCI_C49322	left adrenal gland	http://mouse.owl#MA_0000718	left adrenal gland	1.0
http://human.owl#NCI_C49323	left testis	http://mouse.owl#MA_0001746	left testis	1.0
http://human.owl#NCI_C49324	left ureter	http://mouse.owl#MA_0001684	left ureter	1.0
http://human.owl#NCI_C52695	right renal vein	http://mouse.owl#MA_0002212	right renal vein	1.0
http://human.owl#NCI_C52557	parasympathetic ganglion	http://mouse.owl#MA_0002469	parasympathetic ganglion	1.0
http://human.owl#NCI_C52558	submandibular ganglion	http://mouse.owl#MA_0002470	submandibular ganglion	1.0
http://human.owl#NCI_C52560	gluteus maximus	http://mouse.owl#MA_0002309	gluteus maximus	1.0
http://human.owl#NCI_C52561	urethralis	http://mouse.owl#MA_0002401	urethralis	1.0
http://human.owl#NCI_C12419	head	http://mouse.owl#MA_0000023	head	1.0
http://human.owl#NCI_C52686	superior vesical artery	http://mouse.owl#MA_0002080	superior vesical artery	1.0
http://human.owl#NCI_C52687	anterior facial vein	http://mouse.owl#MA_0002116	anterior facial vein	1.0
http://human.owl#NCI_C52688	medial femoral vein	http://mouse.owl#MA_0002119	medial femoral vein	1.0
http://human.owl#NCI_C52689	dorsal metatarsal vein	http://mouse.owl#MA_0002105	dorsal metatarsal vein	1.0
http://human.owl#NCI_C52692	inferior pancreatico duodenal vein	http://mouse.owl#MA_0002191	inferior pancreatico duodenal vein	1.0
http://human.owl#NCI_C53060	pancreatico duodenal vein	http://mouse.owl#MA_0002190	pancreatico duodenal vein	1.0
http://human.owl#NCI_C52693	left renal vein	http://mouse.owl#MA_0002211	left renal vein	1.0
http://human.owl#NCI_C52696	left spermatic vein	http://mouse.owl#MA_0002219	left spermatic vein	1.0
http://human.owl#NCI_C49325	right adrenal gland	http://mouse.owl#MA_0000719	right adrenal gland	1.0
http://human.owl#NCI_C53050	spermatic vein	http://mouse.owl#MA_0002218	spermatic vein	1.0
http://human.owl#NCI_C52697	right spermatic vein	http://mouse.owl#MA_0002220	right spermatic vein	1.0
http://human.owl#NCI_C52698	internal thoracic vein	http://mouse.owl#MA_0002237	internal thoracic vein	1.0
http://human.owl#NCI_C53142	thoracic vein	http://mouse.owl#MA_0002235	thoracic vein	1.0
http://human.owl#NCI_C52699	deep temporal vein	http://mouse.owl#MA_0002240	deep temporal vein	1.0
http://human.owl#NCI_C53140	temporal vein	http://mouse.owl#MA_0002239	temporal vein	1.0
http://human.owl#NCI_C52700	superficial temporal vein	http://mouse.owl#MA_0002242	superficial temporal vein	1.0
http://human.owl#NCI_C52702	plantar foot interosseus muscle	http://mouse.owl#MA_0002304	plantar foot interosseus muscle	1.0
http://human.owl#NCI_C53173	hand interosseous muscle	http://mouse.owl#MA_0002313	hand interosseous muscle	1.0
http://human.owl#NCI_C52704	palmar hand interosseus muscle	http://mouse.owl#MA_0002315	palmar hand interosseus muscle	1.0
http://human.owl#NCI_C52706	intrinsic tongue muscle transverse component	http://mouse.owl#MA_0002328	intrinsic tongue muscle transverse component	1.0
http://human.owl#NCI_C52708	intrinsic tongue muscle vertical component	http://mouse.owl#MA_0002329	intrinsic tongue muscle vertical component	1.0
http://human.owl#NCI_C52555	esophagus secretion	http://mouse.owl#MA_0002514	esophagus secretion	1.0
http://human.owl#NCI_C52554	bulbourethral gland secretion	http://mouse.owl#MA_0002524	bulbourethral gland secretion	1.0
http://human.owl#NCI_C52553	prostate gland secretion	http://mouse.owl#MA_0002525	prostate gland secretion	1.0
http://human.owl#NCI_C52552	seminal vesicle secretion	http://mouse.owl#MA_0002526	seminal vesicle secretion	1.0
http://human.owl#NCI_C49326	right testis	http://mouse.owl#MA_0001747	right testis	1.0
http://human.owl#NCI_C49327	right ureter	http://mouse.owl#MA_0001685	right ureter	1.0
http://human.owl#NCI_C49329	arterial system endothelium	http://mouse.owl#MA_0000703	arterial system endothelium	1.0
http://human.owl#NCI_C49335	brain pia mater	http://mouse.owl#MA_0000816	brain pia mater	1.0
http://human.owl#NCI_C49477	appendicular skeleton	http://mouse.owl#MA_0000290	appendicular skeleton	1.0
http://human.owl#NCI_C49481	ear skin	http://mouse.owl#MA_0001233	ear skin	1.0
http://human.owl#NCI_C49482	eyelid connective tissue	http://mouse.owl#MA_0001251	eyelid connective tissue	1.0
http://human.owl#NCI_C49564	inner canthus	http://mouse.owl#MA_0001262	inner canthus	1.0
http://human.owl#NCI_C49571	intervertebral disc	http://mouse.owl#MA_0000110	intervertebral disc	1.0
http://human.owl#NCI_C49580	lower eyelid	http://mouse.owl#MA_0001263	lower eyelid	1.0
http://human.owl#NCI_C49581	upper eyelid	http://mouse.owl#MA_0001267	upper eyelid	1.0
http://human.owl#NCI_C49582	lower jaw tooth	http://mouse.owl#MA_0001907	lower jaw tooth	1.0
http://human.owl#NCI_C49583	lower jaw incisor	http://mouse.owl#MA_0001600	lower jaw incisor	1.0
http://human.owl#NCI_C49584	lower jaw molar	http://mouse.owl#MA_0001602	lower jaw molar	1.0
http://human.owl#NCI_C49594	nasal turbinate	http://mouse.owl#MA_0000286	nasal turbinate	1.0
http://human.owl#NCI_C49596	oropharyngeal lymphoid tissue	http://mouse.owl#MA_0000752	oropharyngeal lymphoid tissue	1.0
http://human.owl#NCI_C49597	outer canthus	http://mouse.owl#MA_0001264	outer canthus	1.0
http://human.owl#NCI_C49600	peyer s patch germinal center	http://mouse.owl#MA_0000734	peyer s patch germinal center	1.0
http://human.owl#NCI_C49760	spleen germinal center	http://mouse.owl#MA_0000764	spleen germinal center	1.0
http://human.owl#NCI_C49792	upper jaw tooth	http://mouse.owl#MA_0001909	upper jaw tooth	1.0
http://human.owl#NCI_C49794	upper jaw incisor	http://mouse.owl#MA_0001601	upper jaw incisor	1.0
http://human.owl#NCI_C49795	upper jaw molar	http://mouse.owl#MA_0001603	upper jaw molar	1.0
http://human.owl#NCI_C49799	spinal cord dura mater	http://mouse.owl#MA_0001132	spinal cord dura mater	1.0
http://human.owl#NCI_C49800	spinal cord pia mater	http://mouse.owl#MA_0001133	spinal cord pia mater	1.0
http://human.owl#NCI_C52551	nasal mucus	http://mouse.owl#MA_0002535	nasal mucus	1.0
http://human.owl#NCI_C48943	respiratory bronchiole epithelium	http://mouse.owl#MA_0001773	respiratory bronchiole epithelium	1.0
http://human.owl#NCI_C48823	lower jaw	http://mouse.owl#MA_0001906	lower jaw	1.0
http://human.owl#NCI_C48822	upper jaw	http://mouse.owl#MA_0001908	upper jaw	1.0
http://human.owl#NCI_C33320	phrenic artery	http://mouse.owl#MA_0002019	phrenic artery	1.0
http://human.owl#NCI_C33250	palatine tonsil	http://mouse.owl#MA_0000775	palatine tonsil	1.0
http://human.owl#NCI_C33265	parathyroid gland capsule	http://mouse.owl#MA_0002676	parathyroid gland capsule	1.0
http://human.owl#NCI_C33273	parietal pleura	http://mouse.owl#MA_0002488	parietal pleura	1.0
http://human.owl#NCI_C33277	parotid duct	http://mouse.owl#MA_0002697	parotid duct	1.0
http://human.owl#NCI_C33282	patella	http://mouse.owl#MA_0001374	patella	1.0
http://human.owl#NCI_C33284	pectoralis major	http://mouse.owl#MA_0002354	pectoralis major	1.0
